pair_id,repetition,operation,workload_size,concurrency,attempt_id_fabric,attempt_id_traditional,run_id_fabric,run_id_traditional,attempted_requests_fabric,attempted_requests_traditional,successful_requests_fabric,successful_requests_traditional,failed_requests_fabric,failed_requests_traditional,success_rate_fabric,success_rate_traditional,p95_latency_ms_fabric,p95_latency_ms_traditional,successful_throughput_ops_s_fabric,successful_throughput_ops_s_traditional,p95_latency_ms_difference,p95_latency_ms_ratio,successful_throughput_ops_s_difference,successful_throughput_ops_s_ratio
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,OP6,100,1,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01-fabric-measured-OP6,n0100-c01-r06-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,15.9150766,19.595939599999998,78.36028010806776,107.7542644216182,-3.680863,0.812161954204,-29.3939843136,0.727212797829
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,OP1,100,1,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01-fabric-measured-OP1,n0100-c01-r07-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2231.0444166,43.60817459999998,0.475417307816417,24.235408370775303,2187.436242,51.1611512535,-23.759991063,0.0196166410957
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,OP2,100,1,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01-fabric-measured-OP2,n0100-c01-r07-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,24.53970025,8.515100499999999,50.13032523522829,144.8530104076888,16.02459975,2.88190377201,-94.7226851725,0.346077206778
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,OP3,100,1,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01-fabric-measured-OP3,n0100-c01-r07-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2249.7681414000003,70.93946795,0.4777125052138599,21.67054877283728,2178.82867345,31.7139133745,-21.1928362676,0.0220443196996
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,OP4,100,1,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01-fabric-measured-OP4,n0100-c01-r07-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2200.6325381999995,57.50376354999999,0.479456027637442,24.840483481855998,2143.12877465,38.2693653831,-24.3610274542,0.0193013967698
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,OP5,100,1,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01-fabric-measured-OP5,n0100-c01-r07-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,15.217678649999996,8.15151485,77.78286199405424,154.5784913276203,7.0661638,1.86685284024,-76.7956293336,0.503193305395
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,OP6,100,1,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01,n0100-c01-r07-attempt01-fabric-measured-OP6,n0100-c01-r07-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,14.926592349999998,9.83873405,84.5036165959235,128.5079499399954,5.0878583,1.51712530028,-44.0043333441,0.657575011004
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,OP1,100,1,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01-fabric-measured-OP1,n0100-c01-r08-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2290.9718772,15.496614849999998,0.4778156515969716,87.6285010518439,2275.47526235,147.836924346,-87.1506854002,0.00545274249658
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,OP2,100,1,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01-fabric-measured-OP2,n0100-c01-r08-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,23.5225555,8.482495449999998,50.92299859849113,143.83521243874029,15.04006005,2.77307021721,-92.9122138402,0.354037079899
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,OP3,100,1,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01-fabric-measured-OP3,n0100-c01-r08-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2189.9790027,16.2060249,0.4787211652081862,78.16837324862303,2173.7729778,135.133631857,-77.6896520834,0.00612423087897
